id,nom_voie,id_fantoir,numero,rep,code_insee,code_post,alias,nom_ld,x,y,commune,fant_voie,fant_ld,lat,lon
ADRNIVX_0000000270780047,Rue Alexandre Dumas,0155,40,"",75111,75011,"","",655477.1,6861678.9,Paris 11e Arrondissement,75111_0155C,,48.853610,2.393233
ADRNIVX_0000000270780048,Rue Alexandre Dumas,0155,42,"",75111,75011,"","",655491.8,6861684,Paris 11e Arrondissement,75111_0155C,,48.853657,2.393433
ADRNIVX_0000000270780037,Rue Alexandre Dumas,0155,43,"",75111,75011,"","",655533.6,6861710.4,Paris 11e Arrondissement,75111_0155C,,48.853897,2.393999
ADRNIVX_0000000270780038,Rue Alexandre Dumas,0155,44,"",75111,75011,"","",655506.4,6861689.1,Paris 11e Arrondissement,75111_0155C,,48.853704,2.393631
ADRNIVX_0000000270780039,Rue Alexandre Dumas,0155,45,"",75111,75011,"","",655543.5,6861716,Paris 11e Arrondissement,75111_0155C,,48.853948,2.394134
ADRNIVX_0000000270780040,Rue Alexandre Dumas,0155,46,"",75111,75011,"","",655520.2,6861696.4,Paris 11e Arrondissement,75111_0155C,,48.853771,2.393818
ADRNIVX_0000000270779088,Rue Alexandre Dumas,0155,47,"",75111,75011,"","",655560.5,6861722.1,Paris 11e Arrondissement,75111_0155C,,48.854004,2.394365
ADRNIVX_0000000270779089,Rue Alexandre Dumas,0155,49,"",75111,75011,"","",655578.2,6861728.1,Paris 11e Arrondissement,75111_0155C,,48.854060,2.394605
ADRNIVX_0000000270781895,Rue Alexandre Dumas,0155,5,"",75111,75011,"","",655191.8,6861609.3,Paris 11e Arrondissement,75111_0155C,,48.852964,2.389352
ADRNIVX_0000000270780030,Rue Alexandre Dumas,0155,50,"",75111,75011,"","",655547.6,6861705.8,Paris 11e Arrondissement,75111_0155C,,48.853857,2.394191
ADRNIVX_0000000270779090,Rue Alexandre Dumas,0155,51,"",75111,75011,"","",655598.9,6861733.4,Paris 11e Arrondissement,75111_0155C,,48.854109,2.394887
ADRNIVX_0000000270780031,Rue Alexandre Dumas,0155,52,"",75111,75011,"","",655545.8,6861702.9,Paris 11e Arrondissement,75111_0155C,,48.853831,2.394166
ADRNIVX_0000000270779080,Rue Alexandre Dumas,0155,53,"",75111,75011,"","",655600.8,6861736.9,Paris 11e Arrondissement,75111_0155C,,48.854140,2.394912
ADRNIVX_0000000330306548,Rue Alexandre Dumas,0155,54,"",75111,75011,"","",655556,6861706.5,Paris 11e Arrondissement,75111_0155C,,48.853864,2.394305
ADRNIVX_0000000330306549,Rue Alexandre Dumas,0155,54,A,75111,75011,"","",655568.8,6861713.3,Paris 11e Arrondissement,75111_0155C,,48.853926,2.394479
ADRNIVX_0000000270779081,Rue Alexandre Dumas,0155,55,"",75111,75011,"","",655631.6,6861744.9,Paris 11e Arrondissement,75111_0155C,,48.854214,2.395331
ADRNIVX_0000000270780033,Rue Alexandre Dumas,0155,56,"",75111,75011,"","",655567,6861710.3,Paris 11e Arrondissement,75111_0155C,,48.853899,2.394455
ADRNIVX_0000000270779082,Rue Alexandre Dumas,0155,57,"",75111,75011,"","",655647.9,6861750.6,Paris 11e Arrondissement,75111_0155C,,48.854267,2.395553
ADRNIVX_0000000270780034,Rue Alexandre Dumas,0155,58,"",75111,75011,"","",655578.3,6861714.3,Paris 11e Arrondissement,75111_0155C,,48.853936,2.394608
ADRNIVX_0000000270779076,Rue Alexandre Dumas,0155,59,"",75111,75011,"","",655664.3,6861756.4,Paris 11e Arrondissement,75111_0155C,,48.854320,2.395776
ADRNIVX_0000000270781896,Rue Alexandre Dumas,0155,6,"",75111,75011,"","",655199.1,6861597,Paris 11e Arrondissement,75111_0155C,,48.852854,2.389453
ADRNIVX_0000000270780035,Rue Alexandre Dumas,0155,60,"",75111,75011,"","",655589.3,6861718.1,Paris 11e Arrondissement,75111_0155C,,48.853970,2.394758
ADRNIVX_0000000312902408,Rue Alexandre Dumas,0155,62,"",75111,75011,"","",655599.5,6861721.7,Paris 11e Arrondissement,75111_0155C,,48.854004,2.394896
ADRNIVX_0000000270779083,Rue Alexandre Dumas,0155,62,"",75111,75011,"","",655599.5,6861721.7,Paris 11e Arrondissement,75111_0155C,,48.854004,2.394896
ADRNIVX_0000000312902409,Rue Alexandre Dumas,0155,62,"",75111,75011,"","",655599.5,6861721.7,Paris 11e Arrondissement,75111_0155C,,48.854004,2.394896
ADRNIVX_0000000312902410,Rue Alexandre Dumas,0155,62,"",75111,75011,"","",655599.5,6861721.7,Paris 11e Arrondissement,75111_0155C,,48.854004,2.394896
ADRNIVX_0000000312902407,Rue Alexandre Dumas,0155,62,"",75111,75011,"","",655599.5,6861721.7,Paris 11e Arrondissement,75111_0155C,,48.854004,2.394896
ADRNIVX_0000000312902411,Rue Alexandre Dumas,0155,62,"",75111,75011,"","",655599.5,6861721.7,Paris 11e Arrondissement,75111_0155C,,48.854004,2.394896
ADRNIVX_0000000270779084,Rue Alexandre Dumas,0155,64,"",75111,75011,"","",655607.9,6861724.6,Paris 11e Arrondissement,75111_0155C,,48.854030,2.395010
ADRNIVX_0000000270779085,Rue Alexandre Dumas,0155,66,"",75111,75011,"","",655618.3,6861728.3,Paris 11e Arrondissement,75111_0155C,,48.854064,2.395152
ADRNIVX_0000000270779086,Rue Alexandre Dumas,0155,68,"",75111,75011,"","",655627.3,6861731.4,Paris 11e Arrondissement,75111_0155C,,48.854093,2.395274
ADRNIVX_0000000270781897,Rue Alexandre Dumas,0155,7,"",75111,75011,"","",655202.8,6861611.8,Paris 11e Arrondissement,75111_0155C,,48.852988,2.389502
ADRNIVX_0000000270779087,Rue Alexandre Dumas,0155,70,"",75111,75011,"","",655639.6,6861735.7,Paris 11e Arrondissement,75111_0155C,,48.854132,2.395441
ADRNIVX_0000000270779077,Rue Alexandre Dumas,0155,72,"",75111,75011,"","",655656.5,6861741.6,Paris 11e Arrondissement,75111_0155C,,48.854186,2.395671
ADRNIVX_0000000270781898,Rue Alexandre Dumas,0155,8,"",75111,75011,"","",655214.2,6861601.3,Paris 11e Arrondissement,75111_0155C,,48.852894,2.389658
ADRNIVX_0000000270781899,Rue Alexandre Dumas,0155,9,"",75111,75011,"","",655211.5,6861625,Paris 11e Arrondissement,75111_0155C,,48.853107,2.389619
ADRNIVX_0000000270767946,Rue Alphonse Baudin,0230,1,"",75111,75011,"","",653836.1,6862406.9,Paris 11e Arrondissement,75111_0230J,,48.860042,2.370791
ADRNIVX_0000000270767241,Rue Alphonse Baudin,0230,10,"",75111,75011,"","",653821.1,6862469.3,Paris 11e Arrondissement,75111_0230J,,48.860602,2.370580
ADRNIVX_0000000270767242,Rue Alphonse Baudin,0230,11,"",75111,75011,"","",653812.5,6862467.1,Paris 11e Arrondissement,75111_0230J,,48.860581,2.370463
ADRNIVX_0000000270767243,Rue Alphonse Baudin,0230,12,"",75111,75011,"","",653820.3,6862483.4,Paris 11e Arrondissement,75111_0230J,,48.860728,2.370567
ADRNIVX_0000000270766509,Rue Alphonse Baudin,0230,14,"",75111,75011,"","",653811.7,6862493.5,Paris 11e Arrondissement,75111_0230J,,48.860819,2.370449
ADRNIVX_0000000270766517,Rue Alphonse Baudin,0230,17,"",75111,75011,"","",653799.7,6862503.5,Paris 11e Arrondissement,75111_0230J,,48.860908,2.370284
ADRNIVX_0000000270765789,Rue Alphonse Baudin,0230,19,"",75111,75011,"","",653782.5,6862541.7,Paris 11e Arrondissement,75111_0230J,,48.861250,2.370046
ADRNIVX_0000000270766518,Rue Alphonse Baudin,0230,22,"",75111,75011,"","",653799.7,6862527.4,Paris 11e Arrondissement,75111_0230J,,48.861123,2.370282
ADRNIVX_0000000270766519,Rue Alphonse Baudin,0230,24,"",75111,75011,"","",653795.8,6862537.5,Paris 11e Arrondissement,75111_0230J,,48.861213,2.370227
ADRNIVX_0000000270765790,Rue Alphonse Baudin,0230,26,"",75111,75011,"","",653792,6862545.2,Paris 11e Arrondissement,75111_0230J,,48.861282,2.370175
ADRNIVX_0000000270767947,Rue Alphonse Baudin,0230,3,"",75111,75011,"","",653829.7,6862423.8,Paris 11e Arrondissement,75111_0230J,,48.860193,2.370702
ADRNIVX_0000000270767948,Rue Alphonse Baudin,0230,4,"",75111,75011,"","",653836.5,6862430.3,Paris 11e Arrondissement,75111_0230J,,48.860252,2.370794
ADRNIVX_0000000270767949,Rue Alphonse Baudin,0230,5,"",75111,75011,"","",653820.2,6862434.7,Paris 11e Arrondissement,75111_0230J,,48.860290,2.370571
ADRNIVX_0000000270767237,Rue Alphonse Baudin,0230,6,"",75111,75011,"","",653828.7,6862450,Paris 11e Arrondissement,75111_0230J,,48.860429,2.370685
ADRNIVX_0000000270767238,Rue Alphonse Baudin,0230,7,"",75111,75011,"","",653822.1,6862442.7,Paris 11e Arrondissement,75111_0230J,,48.860362,2.370596
ADRNIVX_0000000270767239,Rue Alphonse Baudin,0230,8,"",75111,75011,"","",653825.8,6862457.2,Paris 11e Arrondissement,75111_0230J,,48.860493,2.370645
ADRNIVX_0000000270767240,Rue Alphonse Baudin,0230,9,"",75111,75011,"","",653809.2,6862463.4,Paris 11e Arrondissement,75111_0230J,,48.860548,2.370418
ADRNIVX_0000000270775765,Rue Amelot,0272,10,"",75111,75011,"","",653721,6861941.6,Paris 11e Arrondissement,75111_0272E,,48.855849,2.369273
ADRNIVX_0000000270764376,Rue Amelot,0272,100,"",75111,75011,"","",653598.8,6862650,Paris 11e Arrondissement,75111_0272E,,48.862211,2.367530
ADRNIVX_0000000270766542,Rue Amelot,0272,101,"",75111,75011,"","",653607.7,6862536.6,Paris 11e Arrondissement,75111_0272E,,48.861192,2.367664
ADRNIVX_0000000270764378,Rue Amelot,0272,102,C,75111,75011,"","",653592,6862676,Paris 11e Arrondissement,75111_0272E,,48.862444,2.367434
ADRNIVX_0000000270764374,Rue Amelot,0272,102,"",75111,75011,"","",653620.6,6862679.3,Paris 11e Arrondissement,75111_0272E,,48.862476,2.367824
ADRNIVX_0000000270764377,Rue Amelot,0272,102,"",75111,75011,"","",653594.9,6862671.3,Paris 11e Arrondissement,75111_0272E,,48.862402,2.367474
ADRNIVX_0000000270763682,Rue Amelot,0272,102,A,75111,75011,"","",653675,6862706,Paris 11e Arrondissement,75111_0272E,,48.862720,2.368562
ADRNIVX_0000000270764379,Rue Amelot,0272,104,"",75111,75011,"","",653591.6,6862690.6,Paris 11e Arrondissement,75111_0272E,,48.862575,2.367427
ADRNIVX_0000000270765810,Rue Amelot,0272,105,"",75111,75011,"","",653604.6,6862554.7,Paris 11e Arrondissement,75111_0272E,,48.861354,2.367619
ADRNIVX_0000000270763689,Rue Amelot,0272,106,"",75111,75011,"","",653585.7,6862711.1,Paris 11e Arrondissement,75111_0272E,,48.862759,2.367345
ADRNIVX_0000000270765811,Rue Amelot,0272,107,"",75111,75011,"","",653600.1,6862580.3,Paris 11e Arrondissement,75111_0272E,,48.861584,2.367555
ADRNIVX_0000000270763690,Rue Amelot,0272,108,"",75111,75011,"","",653583.1,6862739.3,Paris 11e Arrondissement,75111_0272E,,48.863013,2.367306
ADRNIVX_0000000270765111,Rue Amelot,0272,109,"",75111,75011,"","",653597.1,6862597.9,Paris 11e Arrondissement,75111_0272E,,48.861742,2.367512
ADRNIVX_0000000270776644,Rue Amelot,0272,11,"",75111,75011,"","",653721.9,6861887.5,Paris 11e Arrondissement,75111_0272E,,48.855362,2.369291
ADRNIVX_0000000270762923,Rue Amelot,0272,110,"",75111,75011,"","",653580.7,6862753,Paris 11e Arrondissement,75111_0272E,,48.863136,2.367272
ADRNIVX_0000000270765112,Rue Amelot,0272,111,"",75111,75011,"","",653591.8,6862627,Paris 11e Arrondissement,75111_0272E,,48.862003,2.367437
ADRNIVX_0000000270765114,Rue Amelot,0272,113,"",75111,75011,"","",653590.2,6862635.8,Paris 11e Arrondissement,75111_0272E,,48.862082,2.367414
ADRNIVX_0000000270762187,Rue Amelot,0272,114,"",75111,75011,"","",653571.6,6862804.4,Paris 11e Arrondissement,75111_0272E,,48.863597,2.367142
ADRNIVX_0000000270764380,Rue Amelot,0272,115,"",75111,75011,"","",653585.5,6862661.8,Paris 11e Arrondissement,75111_0272E,,48.862316,2.367347
ADRNIVX_0000000270762188,Rue Amelot,0272,116,"",75111,75011,"","",653569,6862819,Paris 11e Arrondissement,75111_0272E,,48.863728,2.367105
ADRNIVX_0000000270764381,Rue Amelot,0272,117,"",75111,75011,"","",653580.7,6862687.9,Paris 11e Arrondissement,75111_0272E,,48.862550,2.367279
ADRNIVX_0000000270762189,Rue Amelot,0272,118,"",75111,75011,"","",653563.2,6862827.4,Paris 11e Arrondissement,75111_0272E,,48.863803,2.367025
ADRNIVX_0000000270762924,Rue Amelot,0272,119,"",75111,75011,"","",653564.8,6862779.1,Paris 11e Arrondissement,75111_0272E,,48.863369,2.367052
ADRNIVX_0000000270775766,Rue Amelot,0272,12,"",75111,75011,"","",653717.9,6861959.1,Paris 11e Arrondissement,75111_0272E,,48.856006,2.369229
ADRNIVX_0000000270762190,Rue Amelot,0272,120,"",75111,75011,"","",653559.2,6862844.8,Paris 11e Arrondissement,75111_0272E,,48.863960,2.366969
ADRNIVX_0000000270762191,Rue Amelot,0272,121,"",75111,75011,"","",653559.8,6862801.6,Paris 11e Arrondissement,75111_0272E,,48.863571,2.366982
ADRNIVX_0000000270761433,Rue Amelot,0272,122,"",75111,75011,"","",653555.8,6862863.3,Paris 11e Arrondissement,75111_0272E,,48.864126,2.366921
ADRNIVX_0000000270762192,Rue Amelot,0272,123,"",75111,75011,"","",653554.8,6862824,Paris 11e Arrondissement,75111_0272E,,48.863772,2.366911
ADRNIVX_0000000270761434,Rue Amelot,0272,124,"",75111,75011,"","",653554.4,6862876.3,Paris 11e Arrondissement,75111_0272E,,48.864243,2.366900
ADRNIVX_0000000270762193,Rue Amelot,0272,125,"",75111,75011,"","",653550.8,6862841.3,Paris 11e Arrondissement,75111_0272E,,48.863928,2.366855
